Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Acid Reflux,Omeprazole,2,Very effective,"Stomach pain, bloating, dizziness",146
Tuberculosis,Rifampin,2.3,Highly recommended,"Liver damage, nausea, dizziness",481
Bronchitis,Dextromethorphan,2.5,Not effective,"Dizziness, dry mouth, fatigue",63
Liver Disease,Silymarin,4,Caused side effects,"Stomach pain, diarrhea, nausea",422
Kidney Stones,Tamsulosin,6.7,Highly recommended,"Dizziness, headache, nasal congestion",456
Stroke,Aspirin,1.8,Not effective,"Bleeding risk, stomach pain",383
Heart Disease,Atorvastatin,5.7,Not effective,"Muscle pain, liver issues, nausea",314
Alzheimer's,Donepezil,7.5,Somewhat helpful,"Nausea, insomnia, diarrhea",73
Anemia,Ferrous Sulfate,3,Not effective,"Constipation, nausea, black stools",493
Hypothyroidism,Levothyroxine,7.3,Highly recommended,"Weight loss, anxiety, nausea",472
Epilepsy,Carbamazepine,6.3,Somewhat helpful,"Dizziness, fatigue, liver problems",388
Diabetes,Metformin,7.1,Highly recommended,"Nausea, weight loss, dizziness",277
Hypertension,Lisinopril,1.2,Somewhat helpful,"Cough, dizziness, low blood pressure",256
Migraine,Sumatriptan,1.3,Very effective,"Nausea, dizziness, chest pain",58
Asthma,Albuterol,3.5,Not effective,"Tremors, nervousness, fast heartbeat",50
COVID-19,Remdesivir,9.9,Caused side effects,"Nausea, liver problems, rash",111
Flu,Tamiflu,5.8,Caused side effects,"Nausea, headache, dizziness",455
Depression,Sertraline,1.8,Highly recommended,"Drowsiness, weight gain, nausea",431
Arthritis,Ibuprofen,9.7,Highly recommended,"Stomach pain, nausea, ulcers",149
Pneumonia,Azithromycin,2.4,Caused side effects,"Diarrhea, stomach pain, nausea",53
Acid Reflux,Omeprazole,8.2,Not effective,"Stomach pain, bloating, dizziness",221
Tuberculosis,Rifampin,2.3,Not effective,"Liver damage, nausea, dizziness",355
Bronchitis,Dextromethorphan,3.5,Not effective,"Dizziness, dry mouth, fatigue",343
Liver Disease,Silymarin,2.3,Highly recommended,"Stomach pain, diarrhea, nausea",395
Kidney Stones,Tamsulosin,8.7,Highly recommended,"Dizziness, headache, nasal congestion",191
Stroke,Aspirin,7.7,Caused side effects,"Bleeding risk, stomach pain",218
Heart Disease,Atorvastatin,3.4,Somewhat helpful,"Muscle pain, liver issues, nausea",119
Alzheimer's,Donepezil,5.6,Somewhat helpful,"Nausea, insomnia, diarrhea",163
Anemia,Ferrous Sulfate,2.5,Highly recommended,"Constipation, nausea, black stools",169
Hypothyroidism,Levothyroxine,8,Caused side effects,"Weight loss, anxiety, nausea",357
Epilepsy,Carbamazepine,1.4,Highly recommended,"Dizziness, fatigue, liver problems",334
Diabetes,Metformin,5.1,Highly recommended,"Nausea, weight loss, dizziness",102
Hypertension,Lisinopril,9.2,Highly recommended,"Cough, dizziness, low blood pressure",41
Migraine,Sumatriptan,7.5,Not effective,"Nausea, dizziness, chest pain",90
Asthma,Albuterol,8.4,Not effective,"Tremors, nervousness, fast heartbeat",147
COVID-19,Remdesivir,1.8,Somewhat helpful,"Nausea, liver problems, rash",95
Flu,Tamiflu,9.8,Very effective,"Nausea, headache, dizziness",58
Depression,Sertraline,7.4,Not effective,"Drowsiness, weight gain, nausea",25
Arthritis,Ibuprofen,8.3,Very effective,"Stomach pain, nausea, ulcers",79
Pneumonia,Azithromycin,7.3,Not effective,"Diarrhea, stomach pain, nausea",373
Acid Reflux,Omeprazole,1.1,Highly recommended,"Stomach pain, bloating, dizziness",380
Tuberculosis,Rifampin,2,Very effective,"Liver damage, nausea, dizziness",139
Bronchitis,Dextromethorphan,2,Caused side effects,"Dizziness, dry mouth, fatigue",97
Liver Disease,Silymarin,1.4,Somewhat helpful,"Stomach pain, diarrhea, nausea",147
Kidney Stones,Tamsulosin,1.4,Caused side effects,"Dizziness, headache, nasal congestion",290
Stroke,Aspirin,7,Somewhat helpful,"Bleeding risk, stomach pain",29
Heart Disease,Atorvastatin,6.3,Somewhat helpful,"Muscle pain, liver issues, nausea",350
Alzheimer's,Donepezil,8.1,Somewhat helpful,"Nausea, insomnia, diarrhea",96
Anemia,Ferrous Sulfate,7.6,Not effective,"Constipation, nausea, black stools",283
Hypothyroidism,Levothyroxine,7.3,Not effective,"Weight loss, anxiety, nausea",339
Epilepsy,Carbamazepine,2.5,Very effective,"Dizziness, fatigue, liver problems",260
Diabetes,Metformin,6.1,Highly recommended,"Nausea, weight loss, dizziness",346
Hypertension,Lisinopril,9.7,Somewhat helpful,"Cough, dizziness, low blood pressure",297
Migraine,Sumatriptan,5.4,Very effective,"Nausea, dizziness, chest pain",104
Asthma,Albuterol,9.6,Highly recommended,"Tremors, nervousness, fast heartbeat",62
COVID-19,Remdesivir,6.7,Very effective,"Nausea, liver problems, rash",408
Flu,Tamiflu,2.5,Very effective,"Nausea, headache, dizziness",367
Depression,Sertraline,1,Highly recommended,"Drowsiness, weight gain, nausea",65
Arthritis,Ibuprofen,1.1,Very effective,"Stomach pain, nausea, ulcers",481
Pneumonia,Azithromycin,6.6,Not effective,"Diarrhea, stomach pain, nausea",412
Acid Reflux,Omeprazole,1.7,Highly recommended,"Stomach pain, bloating, dizziness",241
Tuberculosis,Rifampin,6.6,Highly recommended,"Liver damage, nausea, dizziness",394
Bronchitis,Dextromethorphan,5.3,Somewhat helpful,"Dizziness, dry mouth, fatigue",101
Liver Disease,Silymarin,3,Highly recommended,"Stomach pain, diarrhea, nausea",212
Kidney Stones,Tamsulosin,8.1,Not effective,"Dizziness, headache, nasal congestion",450
Stroke,Aspirin,9.3,Caused side effects,"Bleeding risk, stomach pain",301
Heart Disease,Atorvastatin,7.9,Caused side effects,"Muscle pain, liver issues, nausea",372
Alzheimer's,Donepezil,5.5,Caused side effects,"Nausea, insomnia, diarrhea",184
Anemia,Ferrous Sulfate,2.3,Somewhat helpful,"Constipation, nausea, black stools",362
Hypothyroidism,Levothyroxine,9.1,Not effective,"Weight loss, anxiety, nausea",452
Epilepsy,Carbamazepine,6.4,Very effective,"Dizziness, fatigue, liver problems",432
Diabetes,Metformin,6.9,Somewhat helpful,"Nausea, weight loss, dizziness",149
Hypertension,Lisinopril,8.7,Caused side effects,"Cough, dizziness, low blood pressure",165
Migraine,Sumatriptan,4,Somewhat helpful,"Nausea, dizziness, chest pain",190
Asthma,Albuterol,6.3,Very effective,"Tremors, nervousness, fast heartbeat",497
COVID-19,Remdesivir,5.5,Somewhat helpful,"Nausea, liver problems, rash",410
Flu,Tamiflu,2.5,Not effective,"Nausea, headache, dizziness",41
Depression,Sertraline,8.7,Caused side effects,"Drowsiness, weight gain, nausea",133
Arthritis,Ibuprofen,7.5,Highly recommended,"Stomach pain, nausea, ulcers",101
Pneumonia,Azithromycin,7,Caused side effects,"Diarrhea, stomach pain, nausea",318
Acid Reflux,Omeprazole,7.4,Highly recommended,"Stomach pain, bloating, dizziness",393
Tuberculosis,Rifampin,6.2,Highly recommended,"Liver damage, nausea, dizziness",464
Bronchitis,Dextromethorphan,9.1,Highly recommended,"Dizziness, dry mouth, fatigue",260
Liver Disease,Silymarin,7.9,Not effective,"Stomach pain, diarrhea, nausea",254
Kidney Stones,Tamsulosin,4.5,Highly recommended,"Dizziness, headache, nasal congestion",475
Stroke,Aspirin,5.9,Not effective,"Bleeding risk, stomach pain",461
Heart Disease,Atorvastatin,2.3,Caused side effects,"Muscle pain, liver issues, nausea",204
Alzheimer's,Donepezil,7.2,Somewhat helpful,"Nausea, insomnia, diarrhea",432
Anemia,Ferrous Sulfate,3.9,Not effective,"Constipation, nausea, black stools",365
Hypothyroidism,Levothyroxine,1.1,Somewhat helpful,"Weight loss, anxiety, nausea",475
Epilepsy,Carbamazepine,6.7,Not effective,"Dizziness, fatigue, liver problems",439
Diabetes,Metformin,4.4,Caused side effects,"Nausea, weight loss, dizziness",306
Hypertension,Lisinopril,9.6,Not effective,"Cough, dizziness, low blood pressure",122
Migraine,Sumatriptan,3.9,Highly recommended,"Nausea, dizziness, chest pain",193
Asthma,Albuterol,4.6,Not effective,"Tremors, nervousness, fast heartbeat",82
COVID-19,Remdesivir,8.8,Caused side effects,"Nausea, liver problems, rash",243
Flu,Tamiflu,1,Very effective,"Nausea, headache, dizziness",266
Depression,Sertraline,9.6,Not effective,"Drowsiness, weight gain, nausea",73
Arthritis,Ibuprofen,2,Highly recommended,"Stomach pain, nausea, ulcers",178
Pneumonia,Azithromycin,6.2,Somewhat helpful,"Diarrhea, stomach pain, nausea",207
Acid Reflux,Omeprazole,9.7,Not effective,"Stomach pain, bloating, dizziness",474
Tuberculosis,Rifampin,2.6,Not effective,"Liver damage, nausea, dizziness",161
Bronchitis,Dextromethorphan,5.4,Somewhat helpful,"Dizziness, dry mouth, fatigue",363
Liver Disease,Silymarin,4.4,Caused side effects,"Stomach pain, diarrhea, nausea",235
Kidney Stones,Tamsulosin,1.6,Caused side effects,"Dizziness, headache, nasal congestion",164
Stroke,Aspirin,6.7,Caused side effects,"Bleeding risk, stomach pain",52
Heart Disease,Atorvastatin,7.7,Somewhat helpful,"Muscle pain, liver issues, nausea",207
Alzheimer's,Donepezil,4.1,Not effective,"Nausea, insomnia, diarrhea",86
Anemia,Ferrous Sulfate,7.9,Caused side effects,"Constipation, nausea, black stools",335
Hypothyroidism,Levothyroxine,2.6,Highly recommended,"Weight loss, anxiety, nausea",162
Epilepsy,Carbamazepine,6.1,Highly recommended,"Dizziness, fatigue, liver problems",253
Diabetes,Metformin,4.5,Highly recommended,"Nausea, weight loss, dizziness",482
Hypertension,Lisinopril,6.3,Caused side effects,"Cough, dizziness, low blood pressure",158
Migraine,Sumatriptan,6.1,Highly recommended,"Nausea, dizziness, chest pain",133
Asthma,Albuterol,8.2,Very effective,"Tremors, nervousness, fast heartbeat",430
COVID-19,Remdesivir,9.9,Very effective,"Nausea, liver problems, rash",116
Flu,Tamiflu,5.6,Caused side effects,"Nausea, headache, dizziness",271
Depression,Sertraline,5.1,Caused side effects,"Drowsiness, weight gain, nausea",456
Arthritis,Ibuprofen,7.7,Somewhat helpful,"Stomach pain, nausea, ulcers",279
Pneumonia,Azithromycin,9.7,Highly recommended,"Diarrhea, stomach pain, nausea",288
Acid Reflux,Omeprazole,7.3,Somewhat helpful,"Stomach pain, bloating, dizziness",57
Tuberculosis,Rifampin,3.9,Very effective,"Liver damage, nausea, dizziness",309
Bronchitis,Dextromethorphan,4,Very effective,"Dizziness, dry mouth, fatigue",253
Liver Disease,Silymarin,4.5,Very effective,"Stomach pain, diarrhea, nausea",305
Kidney Stones,Tamsulosin,6.7,Somewhat helpful,"Dizziness, headache, nasal congestion",304
Stroke,Aspirin,3.5,Not effective,"Bleeding risk, stomach pain",103
Heart Disease,Atorvastatin,1.2,Not effective,"Muscle pain, liver issues, nausea",425
Alzheimer's,Donepezil,7.4,Not effective,"Nausea, insomnia, diarrhea",316
Anemia,Ferrous Sulfate,5.5,Somewhat helpful,"Constipation, nausea, black stools",253
Hypothyroidism,Levothyroxine,1.8,Caused side effects,"Weight loss, anxiety, nausea",450
Epilepsy,Carbamazepine,9,Not effective,"Dizziness, fatigue, liver problems",483
Diabetes,Metformin,4,Caused side effects,"Nausea, weight loss, dizziness",408
Hypertension,Lisinopril,7,Somewhat helpful,"Cough, dizziness, low blood pressure",132
Migraine,Sumatriptan,1.7,Highly recommended,"Nausea, dizziness, chest pain",496
Asthma,Albuterol,8.7,Not effective,"Tremors, nervousness, fast heartbeat",245
COVID-19,Remdesivir,2.1,Very effective,"Nausea, liver problems, rash",461
Flu,Tamiflu,7.4,Very effective,"Nausea, headache, dizziness",400
Depression,Sertraline,4.8,Not effective,"Drowsiness, weight gain, nausea",494
Arthritis,Ibuprofen,5.6,Highly recommended,"Stomach pain, nausea, ulcers",379
Pneumonia,Azithromycin,3.1,Caused side effects,"Diarrhea, stomach pain, nausea",345
Acid Reflux,Omeprazole,4.2,Highly recommended,"Stomach pain, bloating, dizziness",467
Tuberculosis,Rifampin,5,Caused side effects,"Liver damage, nausea, dizziness",183
Bronchitis,Dextromethorphan,8.6,Not effective,"Dizziness, dry mouth, fatigue",273
Liver Disease,Silymarin,3.2,Not effective,"Stomach pain, diarrhea, nausea",446
Kidney Stones,Tamsulosin,8.7,Not effective,"Dizziness, headache, nasal congestion",61
Stroke,Aspirin,5.9,Somewhat helpful,"Bleeding risk, stomach pain",323
Heart Disease,Atorvastatin,7.1,Highly recommended,"Muscle pain, liver issues, nausea",475
Alzheimer's,Donepezil,4.7,Very effective,"Nausea, insomnia, diarrhea",226
Anemia,Ferrous Sulfate,1.3,Somewhat helpful,"Constipation, nausea, black stools",251
Hypothyroidism,Levothyroxine,4.1,Caused side effects,"Weight loss, anxiety, nausea",259
Epilepsy,Carbamazepine,2.8,Caused side effects,"Dizziness, fatigue, liver problems",129
Diabetes,Metformin,5.5,Very effective,"Nausea, weight loss, dizziness",481
Hypertension,Lisinopril,9.4,Somewhat helpful,"Cough, dizziness, low blood pressure",83
Migraine,Sumatriptan,9.3,Somewhat helpful,"Nausea, dizziness, chest pain",279
Asthma,Albuterol,9.7,Somewhat helpful,"Tremors, nervousness, fast heartbeat",242
COVID-19,Remdesivir,2.2,Not effective,"Nausea, liver problems, rash",192
Flu,Tamiflu,5.1,Somewhat helpful,"Nausea, headache, dizziness",177
Depression,Sertraline,5.5,Highly recommended,"Drowsiness, weight gain, nausea",292
Arthritis,Ibuprofen,4.7,Somewhat helpful,"Stomach pain, nausea, ulcers",174
Pneumonia,Azithromycin,6.2,Somewhat helpful,"Diarrhea, stomach pain, nausea",366
Acid Reflux,Omeprazole,9.2,Very effective,"Stomach pain, bloating, dizziness",110
Tuberculosis,Rifampin,5.4,Caused side effects,"Liver damage, nausea, dizziness",110
Bronchitis,Dextromethorphan,6.7,Caused side effects,"Dizziness, dry mouth, fatigue",472
Liver Disease,Silymarin,2.7,Somewhat helpful,"Stomach pain, diarrhea, nausea",174
Kidney Stones,Tamsulosin,8.4,Not effective,"Dizziness, headache, nasal congestion",89
Stroke,Aspirin,8.9,Not effective,"Bleeding risk, stomach pain",215
Heart Disease,Atorvastatin,6.2,Somewhat helpful,"Muscle pain, liver issues, nausea",119
Alzheimer's,Donepezil,6,Not effective,"Nausea, insomnia, diarrhea",382
Anemia,Ferrous Sulfate,3.1,Caused side effects,"Constipation, nausea, black stools",78
Hypothyroidism,Levothyroxine,9.8,Highly recommended,"Weight loss, anxiety, nausea",324
Epilepsy,Carbamazepine,9,Very effective,"Dizziness, fatigue, liver problems",471
Diabetes,Metformin,3.4,Caused side effects,"Nausea, weight loss, dizziness",149
Hypertension,Lisinopril,7.8,Very effective,"Cough, dizziness, low blood pressure",406
Migraine,Sumatriptan,8.9,Very effective,"Nausea, dizziness, chest pain",177
Asthma,Albuterol,9.3,Somewhat helpful,"Tremors, nervousness, fast heartbeat",448
COVID-19,Remdesivir,2.6,Not effective,"Nausea, liver problems, rash",280
Flu,Tamiflu,9.1,Not effective,"Nausea, headache, dizziness",114
Depression,Sertraline,3.7,Somewhat helpful,"Drowsiness, weight gain, nausea",120
Arthritis,Ibuprofen,4.9,Not effective,"Stomach pain, nausea, ulcers",107
Pneumonia,Azithromycin,2.8,Very effective,"Diarrhea, stomach pain, nausea",231
Acid Reflux,Omeprazole,8.4,Caused side effects,"Stomach pain, bloating, dizziness",106
Tuberculosis,Rifampin,1.8,Highly recommended,"Liver damage, nausea, dizziness",24
Bronchitis,Dextromethorphan,4.4,Very effective,"Dizziness, dry mouth, fatigue",230
Liver Disease,Silymarin,1.7,Not effective,"Stomach pain, diarrhea, nausea",458
Kidney Stones,Tamsulosin,5.9,Somewhat helpful,"Dizziness, headache, nasal congestion",455
Stroke,Aspirin,8.5,Not effective,"Bleeding risk, stomach pain",110
Heart Disease,Atorvastatin,7.5,Caused side effects,"Muscle pain, liver issues, nausea",93
Alzheimer's,Donepezil,1.7,Very effective,"Nausea, insomnia, diarrhea",492
Anemia,Ferrous Sulfate,7.5,Very effective,"Constipation, nausea, black stools",288
Hypothyroidism,Levothyroxine,4.4,Highly recommended,"Weight loss, anxiety, nausea",157
Epilepsy,Carbamazepine,2.9,Very effective,"Dizziness, fatigue, liver problems",144
Diabetes,Metformin,1.1,Very effective,"Nausea, weight loss, dizziness",95
Hypertension,Lisinopril,5.6,Not effective,"Cough, dizziness, low blood pressure",223
Migraine,Sumatriptan,6,Somewhat helpful,"Nausea, dizziness, chest pain",29
Asthma,Albuterol,5.6,Highly recommended,"Tremors, nervousness, fast heartbeat",175
COVID-19,Remdesivir,4.3,Caused side effects,"Nausea, liver problems, rash",216
Flu,Tamiflu,4.5,Not effective,"Nausea, headache, dizziness",86
Depression,Sertraline,6.3,Very effective,"Drowsiness, weight gain, nausea",153
Arthritis,Ibuprofen,3.9,Highly recommended,"Stomach pain, nausea, ulcers",87
Pneumonia,Azithromycin,2.5,Highly recommended,"Diarrhea, stomach pain, nausea",196
Acid Reflux,Omeprazole,5.8,Highly recommended,"Stomach pain, bloating, dizziness",76
Tuberculosis,Rifampin,5.1,Highly recommended,"Liver damage, nausea, dizziness",332
Bronchitis,Dextromethorphan,8,Very effective,"Dizziness, dry mouth, fatigue",373
Liver Disease,Silymarin,5.2,Caused side effects,"Stomach pain, diarrhea, nausea",280
Kidney Stones,Tamsulosin,5.8,Caused side effects,"Dizziness, headache, nasal congestion",111
Stroke,Aspirin,2.8,Highly recommended,"Bleeding risk, stomach pain",101
Heart Disease,Atorvastatin,3.1,Highly recommended,"Muscle pain, liver issues, nausea",379
Alzheimer's,Donepezil,1.5,Caused side effects,"Nausea, insomnia, diarrhea",277
Anemia,Ferrous Sulfate,8.9,Caused side effects,"Constipation, nausea, black stools",286
Hypothyroidism,Levothyroxine,1.3,Not effective,"Weight loss, anxiety, nausea",274
Epilepsy,Carbamazepine,1.1,Highly recommended,"Dizziness, fatigue, liver problems",411
Diabetes,Metformin,5.4,Caused side effects,"Nausea, weight loss, dizziness",391
Hypertension,Lisinopril,7.4,Caused side effects,"Cough, dizziness, low blood pressure",127
Migraine,Sumatriptan,5.4,Not effective,"Nausea, dizziness, chest pain",166
Asthma,Albuterol,5,Caused side effects,"Tremors, nervousness, fast heartbeat",244
COVID-19,Remdesivir,8,Not effective,"Nausea, liver problems, rash",443
Flu,Tamiflu,4.6,Not effective,"Nausea, headache, dizziness",441
Depression,Sertraline,8.6,Not effective,"Drowsiness, weight gain, nausea",144
Arthritis,Ibuprofen,7,Not effective,"Stomach pain, nausea, ulcers",222
Pneumonia,Azithromycin,6.9,Very effective,"Diarrhea, stomach pain, nausea",307
Acid Reflux,Omeprazole,9,Highly recommended,"Stomach pain, bloating, dizziness",395
Tuberculosis,Rifampin,6.2,Highly recommended,"Liver damage, nausea, dizziness",228
Bronchitis,Dextromethorphan,3.4,Not effective,"Dizziness, dry mouth, fatigue",133
Liver Disease,Silymarin,3.4,Very effective,"Stomach pain, diarrhea, nausea",236
Kidney Stones,Tamsulosin,5.8,Highly recommended,"Dizziness, headache, nasal congestion",394
Stroke,Aspirin,3.9,Not effective,"Bleeding risk, stomach pain",23
Heart Disease,Atorvastatin,2.1,Not effective,"Muscle pain, liver issues, nausea",303
Alzheimer's,Donepezil,4.5,Highly recommended,"Nausea, insomnia, diarrhea",193
Anemia,Ferrous Sulfate,4.4,Not effective,"Constipation, nausea, black stools",497
Hypothyroidism,Levothyroxine,2,Highly recommended,"Weight loss, anxiety, nausea",323
Epilepsy,Carbamazepine,7.8,Caused side effects,"Dizziness, fatigue, liver problems",258
